program_id,school,college,program_name,region,directions,degree_types,min_rank_percent,preferred_rank_percent,expected_school_tier,research_expectation,competition_expectation,english_min,required_strength,evidence_level,sample_size,data_year,source_url,notes,is_demo
DEMO-A01,示例研究型大学A,信息与通信工程学院,信息与通信工程,北京,无线通信|信号处理|通信网络,academic_master|professional_master|direct_phd,5,2,4.8,4.2,3.0,520,86,A,55,2026,,高竞争演示项目,true
DEMO-A02,示例研究型大学B,电子工程学院,电子信息,上海,信号处理|雷达|机器学习,academic_master|professional_master|direct_phd,8,3,4.5,4.0,3.0,500,82,B,42,2026,,高竞争演示项目,true
DEMO-A03,示例研究型大学C,通信工程系,信息与通信工程,江苏,无线通信|通信网络|编码理论,academic_master|direct_phd,10,5,4.1,3.8,2.5,480,78,B,36,2025,,研究导向演示项目,true
DEMO-A04,示例研究型大学D,电子科学与工程学院,电子科学与技术,陕西,微波技术|电磁场|集成电路,academic_master|professional_master|direct_phd,10,5,4.0,3.5,3.5,480,76,B,30,2026,,电子方向演示项目,true
DEMO-A05,示例研究型大学E,自动化与电子信息学院,控制科学与工程,湖北,智能感知|信号处理|机器人,academic_master|professional_master,12,6,3.9,3.5,3.0,460,74,C,24,2025,,交叉方向演示项目,true
DEMO-B01,示例行业特色大学F,通信与信息工程学院,信息与通信工程,江苏,无线通信|通信网络|物联网,academic_master|professional_master,15,8,3.5,3.0,3.0,450,70,B,50,2026,,行业特色演示项目,true
DEMO-B02,示例行业特色大学G,电子与光学工程学院,电子信息,天津,光通信|信号处理|图像处理,academic_master|professional_master,18,10,3.4,3.0,2.5,450,68,C,28,2025,,方向覆盖较广,true
DEMO-B03,示例综合大学H,电子信息学院,信息与通信工程,四川,无线通信|通信网络|人工智能,academic_master|professional_master|direct_phd,15,8,3.6,3.2,2.5,460,71,B,33,2026,,均衡型演示项目,true
DEMO-B04,示例理工大学I,信息工程学院,电子信息,广东,通信网络|嵌入式|物联网,professional_master|academic_master,20,10,3.2,2.8,3.2,440,66,C,21,2026,,工程实践演示项目,true
DEMO-B05,示例理工大学J,电子工程与光电技术学院,电子科学与技术,江苏,雷达|微波技术|信号处理,academic_master|professional_master,18,8,3.3,3.3,3.0,450,69,C,19,2024,,电子信息演示项目,true
DEMO-C01,示例省属重点大学K,信息科学与工程学院,信息与通信工程,山东,无线通信|信号处理|物联网,academic_master|professional_master,25,12,2.9,2.5,2.0,425,61,B,45,2026,,稳健型演示项目,true
DEMO-C02,示例省属重点大学L,电子与信息工程学院,电子信息,浙江,嵌入式|图像处理|机器学习,professional_master|academic_master,25,15,3.0,2.5,2.5,425,62,C,26,2025,,工程交叉演示项目,true
DEMO-C03,示例省属重点大学M,通信工程学院,信息与通信工程,重庆,无线通信|通信网络|信号处理,academic_master|professional_master,30,15,2.8,2.2,2.0,425,58,B,40,2026,,通信传统方向,true
DEMO-C04,示例科技大学N,电子信息工程学院,电子信息,福建,物联网|嵌入式|智能感知,professional_master|academic_master,30,18,2.7,2.0,2.5,425,56,C,18,2025,,应用型演示项目,true
DEMO-C05,示例工业大学O,信息工程学院,电子信息,安徽,信号处理|通信网络|工业互联网,professional_master|academic_master,35,20,2.6,2.0,2.5,0,54,D,10,2024,,低证据演示项目,true
DEMO-C06,示例交通大学P,电子信息与电气工程学院,电子信息,辽宁,通信网络|控制|智能交通,professional_master|academic_master,28,15,2.9,2.5,2.8,425,60,C,20,2026,,交叉应用演示项目,true
DEMO-C07,示例邮电大学Q,通信与信息工程学院,信息与通信工程,河南,无线通信|通信网络|物联网,academic_master|professional_master,32,18,2.7,2.2,2.0,425,57,C,16,2025,,通信特色演示项目,true
DEMO-C08,示例电子科技学院R,电子工程学院,电子信息,广西,信号处理|嵌入式|智能感知,professional_master|academic_master,40,22,2.4,1.8,2.0,0,50,D,8,2024,,保底区间演示项目,true
